"","DATE","ATM","Cash"
"598",2009-09-27,"ATM2",61
"599",2009-09-27,"ATM3",0
"600",2009-09-27,"ATM4",630
"601",2009-09-28,"ATM1",96
"602",2009-09-28,"ATM2",71
"603",2009-09-28,"ATM3",0
"604",2009-09-28,"ATM4",236
"605",2009-09-29,"ATM1",117
"606",2009-09-29,"ATM2",69
"607",2009-09-29,"ATM3",0
"608",2009-09-29,"ATM4",1196
"609",2009-09-30,"ATM1",80
"610",2009-09-30,"ATM2",36
"611",2009-09-30,"ATM3",0
"612",2009-09-30,"ATM4",783
"613",2009-10-01,"ATM1",14
"614",2009-10-01,"ATM2",14
"615",2009-10-01,"ATM3",0
"616",2009-10-01,"ATM4",109
"617",2009-10-02,"ATM1",120
"618",2009-10-02,"ATM2",104
"619",2009-10-02,"ATM3",0
"620",2009-10-02,"ATM4",847
"621",2009-10-03,"ATM1",91
"622",2009-10-03,"ATM2",73
"623",2009-10-03,"ATM3",0
"624",2009-10-03,"ATM4",577
"625",2009-10-04,"ATM1",96
"626",2009-10-04,"ATM2",86
"627",2009-10-04,"ATM3",0
"628",2009-10-04,"ATM4",442
"629",2009-10-05,"ATM1",74
"630",2009-10-05,"ATM2",85
"631",2009-10-05,"ATM3",0
"632",2009-10-05,"ATM4",320
"633",2009-10-06,"ATM1",108
"634",2009-10-06,"ATM2",126
"635",2009-10-06,"ATM3",0
"636",2009-10-06,"ATM4",155
"637",2009-10-07,"ATM1",73
"638",2009-10-07,"ATM2",31
"639",2009-10-07,"ATM3",0
"640",2009-10-07,"ATM4",544
"641",2009-10-08,"ATM1",13
"642",2009-10-08,"ATM2",9
"643",2009-10-08,"ATM3",0
"644",2009-10-08,"ATM4",125
"645",2009-10-09,"ATM1",93
"646",2009-10-09,"ATM2",114
"647",2009-10-09,"ATM3",0
"648",2009-10-09,"ATM4",450
"649",2009-10-10,"ATM1",94
"650",2009-10-10,"ATM2",78
"651",2009-10-10,"ATM3",0
"652",2009-10-10,"ATM4",615
"653",2009-10-11,"ATM1",76
"654",2009-10-11,"ATM2",45
"655",2009-10-11,"ATM3",0
